stem,group,num_speculative_tokens,output_throughput,total_token_throughput,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,acceptance_rate,acceptance_length,drafts,draft_tokens,accepted_tokens,completed,failed
baseline_bf16_c16,baseline_bf16,,2188.3478602287764,2887.48653451964,50.71319781567354,72.48312091716798,7.134605482928835,,,,,,320,0
baseline_bf16_c24,baseline_bf16,,3254.2292738202564,4273.056213868589,51.590756758385695,88.16436697794416,7.192958608455264,,,,,,480,0
baseline_bf16_c32,baseline_bf16,,4215.666469617013,5508.25814910725,65.66939087657602,105.26945166078804,7.355463574086799,,,,,,640,0
baseline_bf16_c8,baseline_bf16,,1144.6056016231987,1503.6641312925462,39.190593725288636,119.91838733101758,6.858069252376819,,,,,,160,0
fp8_c16,fp8,,3108.1992722096657,4101.214303365322,41.420903700122835,60.9531775614596,4.99901406270831,,,,,,320,0
fp8_c24,fp8,,4327.632417349939,5682.518051528564,46.693795918736214,78.5962717204893,5.376456709362209,,,,,,480,0
fp8_c32,fp8,,5704.464016359676,7453.5451584851935,52.86146955000959,93.31309371998941,5.412590644730669,,,,,,640,0
fp8_c8,fp8,,1644.2133386220585,2159.9969613748617,32.91316690633721,114.09205352909339,4.753547744412038,,,,,,160,0
fp8_spec_n1_c16,fp8_spec,1,3530.1413600382216,4657.959471304339,30.87031916873002,158.4220793386703,4.367761709877369,35.479965503515984,1.3547996550351598,60296,60296,21393,320,0
fp8_spec_n1_c24,fp8_spec,1,5133.221159495426,6740.318744350151,29.115896760542153,86.29040432999317,4.497183092099161,35.193440886318996,1.35193440886319,90622,90622,31893,480,0
fp8_spec_n1_c32,fp8_spec,1,6569.95902030907,8584.414961130886,31.17896119991883,93.32901415062224,4.679404780110226,35.40508060171563,1.3540508060171563,120655,120655,42718,640,0
fp8_spec_n1_c8,fp8_spec,1,1861.9269788665144,2446.006562642292,62.32022148737997,821.3254321094428,3.996406124166938,35.57982802695794,1.3557982802695794,30121,30121,10717,160,0
fp8_spec_n2_c16,fp8_spec,2,3487.3926250706672,4601.553266957258,32.436059671863404,185.04869415104622,4.386652066899904,21.777012665343335,1.4355402533068666,56927,113854,24794,320,0
fp8_spec_n2_c24,fp8_spec,2,4708.510882026243,6182.64110779473,28.28256678553771,92.18167475246446,4.902018448284293,21.64357940265357,1.4328715880530716,85545,171090,37030,480,0
fp8_spec_n2_c32,fp8_spec,2,5901.858535961526,7711.464037747191,54.31811535781321,561.2802101218404,5.0772575364214845,21.9171873624923,1.438343747249846,113630,227260,49809,640,0
fp8_spec_n2_c8,fp8_spec,2,1802.5877505350418,2368.052838587404,25.072094343727258,55.34157231140853,4.274599526103225,21.44706005806429,1.4289412011612859,28589,57178,12263,160,0
fp8_spec_n3_c16,fp8_spec,3,3304.6325954765243,4360.404620486432,32.19904949985448,184.37636703823955,4.617692781593284,14.901933000342439,1.4470579900102731,56458,169374,25240,320,0
fp8_spec_n3_c24,fp8_spec,3,4523.707809953344,5939.980296580256,28.626012158323043,87.18197456717462,5.12549530943634,14.80674137003303,1.444202241100991,84869,254607,37699,480,0
fp8_spec_n3_c32,fp8_spec,3,5765.149513564281,7532.837812901533,30.35496071098578,104.3659479904818,5.334838223008247,14.975365672722543,1.4492609701816763,112783,338349,50669,640,0
fp8_spec_n3_c8,fp8_spec,3,1701.1637412043942,2234.812493907892,57.556731893691904,717.6363750492601,4.40803042169181,14.644258097855447,1.4393277429356635,28382,85146,12469,160,0
